timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1535505938737,67580,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505938737,5860,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505938737,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505938737,2048000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505939739,67613,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505939740,10421,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505939740,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505939740,14336000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505940741,67614,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505940741,4987,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505940741,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505940742,5120000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505941747,67613,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505941747,4856,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505941747,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505941747,2048000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505942748,67632,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505942749,5368,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505942749,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505942749,23552000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505943750,67631,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505943750,4881,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505943750,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505943750,0,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505944751,67663,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505944751,8684,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505944751,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505944751,1024000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505945752,67681,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505945752,14676,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505945752,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505945752,231424000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505946758,67677,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505946758,14017,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505946758,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505946758,1024000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505947760,67683,localhost Memory,,,,,true,,0,0,0,0,0,0,0
